,Board,Tech,Subject,Grade,Week,Day,Lesson Name,Total Clicks in a Month,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7
280,CBSE,High Tech,English,G2,W1,D1,First Day at School1,5165,95,94,26,95,12,45,32
281,CBSE,High Tech,English,G2,W1,D2,First Day at School2,5051,47,12,87,18,12,156,129
282,CBSE,High Tech,English,G2,W1,D3,Brush your Teeth,4371,79,67,90,56,51,121,33
283,CBSE,High Tech,English,G2,W1,D4,Haldis Adventure,5320,62,67,31,55,11,154,122
284,CBSE,High Tech,English,G2,W1,D5,Paddling Pool,4791,31,10,81,77,65,59,104
285,CBSE,High Tech,Math,G2,W1,D1,Long and Round Obejcts,4816,33,68,40,15,41,145,69
286,CBSE,High Tech,Math,G2,W1,D2,Roll and Slide,5449,43,64,58,18,61,128,146
287,CBSE,High Tech,Math,G2,W1,D3,Things that roll and slide,6651,19,28,89,71,14,128,158
288,CBSE,High Tech,Math,G2,W1,D4,Tall and Short,5519,13,52,76,36,17,89,127
289,CBSE,High Tech,Math,G2,W1,D5,Revise what is long and round ,5470,61,32,98,34,28,84,182
290,CBSE,High Tech,English,G3,W1,D1,Good Morning1,5332,45,10,55,77,21,60,99
291,CBSE,High Tech,English,G3,W1,D2,Good Morning2,5808,67,72,94,35,100,153,135
292,CBSE,High Tech,English,G3,W1,D3,Magic Garden1,6327,74,38,27,19,84,138,42
293,CBSE,High Tech,English,G3,W1,D4,Magic Garden2,5792,63,81,80,33,36,57,114
294,CBSE,High Tech,English,G3,W1,D5,Magic Garden3,5471,72,81,56,91,16,99,172
295,CBSE,High Tech,EVS,G3,W1,D1,"Animals that live on trees, water and land.

",5415,50,66,84,26,13,126,111
296,CBSE,High Tech,EVS,G3,W1,D2,"Animals that move from one place to another.


",6218,62,42,13,76,57,81,68
297,CBSE,High Tech,EVS,G3,W1,D3,"Wild and domestic animals
",5591,13,14,74,61,58,58,45
298,CBSE,High Tech,EVS,G3,W1,D4,characteristics of animals,5640,68,91,64,12,66,167,51
299,CBSE,High Tech,EVS,G3,W1,D5,Animals that live around a tree,4473,23,60,12,67,81,59,141
300,CBSE,High Tech,Math,G3,W1,D1,"Top, Side and Front View",4823,16,93,17,50,40,121,135
301,CBSE,High Tech,Math,G3,W1,D2,Patterns on Dotted Paper,6063,73,43,35,11,48,185,55
302,CBSE,High Tech,Math,G3,W1,D3,Understanding Mirror Halves,5523,22,37,22,43,66,76,125
303,CBSE,High Tech,Math,G3,W1,D4,Number and Letters with Mirror Halves,5794,100,90,94,31,95,122,167
304,CBSE,High Tech,Math,G3,W1,D5,Revise mirror halves,4213,85,20,47,43,48,126,86
305,CBSE,High Tech,English,G4,W1,D1,Wake Up1,6189,36,19,60,63,46,79,96
306,CBSE,High Tech,English,G4,W1,D2,Wake Up2,4545,96,96,84,51,32,61,42
307,CBSE,High Tech,English,G4,W1,D3,Wake Up3,5234,74,26,60,36,85,48,134
308,CBSE,High Tech,English,G4,W1,D4,Wake Up4,5595,13,14,11,67,32,100,35
309,CBSE,High Tech,English,G4,W1,D5,Wake Up,4955,16,17,33,79,18,153,116
310,CBSE,High Tech,EVS,G4,W1,D1,Type of bridges.,6002,57,38,60,42,96,198,63
311,CBSE,High Tech,EVS,G4,W1,D2,Ecosystems,5450,99,19,32,66,55,158,197
312,CBSE,High Tech,EVS,G4,W1,D3,usage of Wheel and pulley,6631,57,23,56,49,12,67,106
313,CBSE,High Tech,EVS,G4,W1,D4,Modes of transportation,4700,47,73,89,46,28,75,175
314,CBSE,High Tech,EVS,G4,W1,D5,Revision,4371,65,32,41,77,22,52,108
315,CBSE,High Tech,Math,G4,W1,D1,Brick Patterns,5201,77,90,28,42,31,41,119
316,CBSE,High Tech,Math,G4,W1,D2,Faces of Bricks,5054,70,87,16,20,41,151,149
317,CBSE,High Tech,Math,G4,W1,D3,"Counting faces, edges and vertices of a brick",5883,56,73,43,44,30,164,59
318,CBSE,High Tech,Math,G4,W1,D4,Brick making process.,4952,53,70,36,42,73,73,66
319,CBSE,High Tech,Math,G4,W1,D5,Revise everything about bricks,5565,68,27,59,95,89,119,191
320,CBSE,High Tech,English,G5,W1,D1,Ice Cream Man1,5395,75,52,98,92,55,66,126
321,CBSE,High Tech,English,G5,W1,D2,Ice Cream Man2,5509,12,52,44,54,11,196,132
322,CBSE,High Tech,English,G5,W1,D3,Ice Cream Man3,4866,79,14,53,45,19,87,109
323,CBSE,High Tech,English,G5,W1,D4,Ice Cream Man4,5552,65,96,38,52,69,151,110
324,CBSE,High Tech,English,G5,W1,D5,Ice Cream Man,6857,40,56,86,43,95,91,115
325,CBSE,High Tech,EVS,G5,W1,D1,uses of the sense of smell.,6520,22,72,67,26,32,44,195
326,CBSE,High Tech,EVS,G5,W1,D2,two types of vision,5705,94,11,65,68,63,183,161
327,CBSE,High Tech,EVS,G5,W1,D3, how different animals hear,5647,23,63,80,52,33,168,58
328,CBSE,High Tech,EVS,G5,W1,D4,how animals use sound to indicate danger,5771,48,55,90,95,16,40,38
329,CBSE,High Tech,EVS,G5,W1,D5,Sleep time of animals on a 24 hour clock,5597,11,50,92,67,40,62,95
330,CBSE,High Tech,Math,G5,W1,D1,Fish Tale,6249,24,30,72,44,79,55,78
331,CBSE,High Tech,Math,G5,W1,D2,Fish Tale,4493,15,22,31,25,25,59,141
332,CBSE,High Tech,Math,G5,W1,D3,Fish Tale,5829,32,38,63,68,22,142,122
333,CBSE,High Tech,Math,G5,W1,D4,Read and Write Big numbers,4808,82,20,96,96,87,56,136
334,CBSE,High Tech,Math,G5,W1,D5,Big Numbers Revision,4959,64,62,43,49,76,110,39
335,MH,High Tech,English,G1,W1,D1,The Happy Song,5564,24,16,11,60,63,36,89
336,MH,High Tech,English,G1,W1,D2,Nature,5084,14,65,97,35,72,61,30
337,MH,High Tech,English,G1,W1,D3,Action Time,5827,45,12,57,92,11,161,65
338,MH,High Tech,English,G1,W1,D4,Know Each Other,5582,68,59,12,73,44,106,62
339,MH,High Tech,English,G1,W1,D5,Capital and Small letters,5332,59,20,74,92,72,105,195
340,MH,High Tech,Math,G1,W1,D1,Big and Small,6343,20,10,87,39,64,193,162
341,MH,High Tech,Math,G1,W1,D2,Behind and In front,5902,69,78,36,22,11,188,35
342,MH,High Tech,Math,G1,W1,D3,Above Below,4684,91,85,29,27,59,124,47
343,MH,High Tech,Math,G1,W1,D4,One Many,5615,40,98,14,17,87,45,103
344,MH,High Tech,Math,G1,W1,D5,Earlier Later,4286,13,45,51,68,52,81,91
345,MH,High Tech,English,G2,W1,D1,Bridge1,5254,100,91,44,26,27,59,128
346,MH,High Tech,English,G2,W1,D2,Bridge2,6562,35,29,24,11,20,75,125
347,MH,High Tech,English,G2,W1,D3,Bridge3,4894,98,43,54,40,87,55,156
348,MH,High Tech,English,G2,W1,D4,Bridge4,5032,82,77,27,27,42,110,53
349,MH,High Tech,English,G2,W1,D5,Let's Speak,6388,53,42,22,16,69,146,30
350,MH,High Tech,Math,G2,W1,D1,Shapes of Fruits and Vegetables,5547,44,11,34,18,72,39,142
351,MH,High Tech,Math,G2,W1,D2,Shapes of objects in our environment,5604,56,29,31,42,13,100,170
352,MH,High Tech,Math,G2,W1,D3,Identify edges and corners of shapes,5872,59,81,54,33,39,47,31
353,MH,High Tech,Math,G2,W1,D4,Surfaces of objects,5995,73,86,36,90,96,54,41
354,MH,High Tech,Math,G2,W1,D5,Roll and slide,5213,54,38,20,44,88,73,179
355,MH,High Tech,English,G3,W1,D1,A Pretty Game1,5764,45,16,49,62,68,66,81
356,MH,High Tech,English,G3,W1,D2,A Pretty Game2,6140,15,82,91,94,55,95,102
357,MH,High Tech,English,G3,W1,D3,Go and Come1,6520,30,39,87,68,53,157,165
358,MH,High Tech,English,G3,W1,D4,Go and Come2,5736,75,64,28,12,34,113,102
359,MH,High Tech,English,G3,W1,D5,Tenali Raman draws a picture,5742,27,48,84,93,88,146,128
360,MH,High Tech,EVS,G3,W1,D1,our Enviornment,4595,42,96,57,31,10,182,31
361,MH,High Tech,EVS,G3,W1,D2,living and non,5483,20,48,90,93,53,128,56
362,MH,High Tech,EVS,G3,W1,D3,"characterstics of living beings
",6564,90,56,53,80,68,109,178
363,MH,High Tech,EVS,G3,W1,D4,interdependence of living and non,5229,52,100,78,43,39,120,104
364,MH,High Tech,EVS,G3,W1,D5,Revision,5164,71,100,82,63,80,159,129
365,MH,High Tech,Math,G3,W1,D1,Identify Shapes,6289,28,25,91,77,72,110,98
366,MH,High Tech,Math,G3,W1,D2,Corners and Edges,5519,57,79,11,35,34,60,81
367,MH,High Tech,Math,G3,W1,D3,Practice counting corners and edges.,5210,56,37,65,88,53,121,178
368,MH,High Tech,Math,G3,W1,D4,Making a tangram,5885,39,66,99,38,93,189,93
369,MH,High Tech,Math,G3,W1,D5,Draw shapes on dotted paper,5924,43,35,30,60,37,159,159
370,MH,High Tech,English,G4,W1,D1,Rain in the Night,5306,65,37,78,12,16,168,80
371,MH,High Tech,English,G4,W1,D2,The Stag at the Pool,6164,33,92,21,31,71,169,173
372,MH,High Tech,English,G4,W1,D3,The Dog and the Manger,4834,93,30,43,41,81,183,52
373,MH,High Tech,English,G4,W1,D4,Aesops Fables ,5118,61,41,95,62,38,160,185
374,MH,High Tech,English,G4,W1,D5,Early Bird Proverb,5096,77,52,47,14,77,166,148
375,MH,High Tech,EVS,G4,W1,D1,Animals and their babies,6356,58,42,59,51,19,161,37
376,MH,High Tech,EVS,G4,W1,D2,Life cycle of a chicken,6247,89,45,50,98,87,73,168
377,MH,High Tech,EVS,G4,W1,D3, life cycle of a butterfly,5794,47,26,52,81,48,187,171
378,MH,High Tech,EVS,G4,W1,D4,Plain Tiger butterfly ,5781,80,88,54,15,36,121,96
379,MH,High Tech,EVS,G4,W1,D5,Revision,5476,99,50,32,58,63,173,149
380,MH,High Tech,Math,G4,W1,D1,Understanding Angles,4530,41,16,59,43,89,171,200
381,MH,High Tech,Math,G4,W1,D2,Identify Types of Angles,6567,35,97,36,39,16,68,147
382,MH,High Tech,Math,G4,W1,D3,Making angles and shapes,4868,100,13,56,63,24,121,109
383,MH,High Tech,Math,G4,W1,D4,Drawing circles,5172,22,34,85,70,60,167,156
384,MH,High Tech,Math,G4,W1,D5,Parts of a circle.,6266,35,58,43,52,84,147,124
385,MH,High Tech,English,G5,W1,D1,What a bird thought1,5824,81,75,50,38,14,102,187
386,MH,High Tech,English,G5,W1,D2,What a bird thought2,5481,98,84,13,38,39,136,159
387,MH,High Tech,English,G5,W1,D3,Daydreams1,6033,45,12,36,17,84,87,130
388,MH,High Tech,English,G5,W1,D4,Daydreams2,5397,64,40,18,33,25,71,80
389,MH,High Tech,English,G5,W1,D5,"Use of ""a"" and ""an""",5062,40,26,65,28,42,122,123
390,MH,High Tech,EVS,G5,W1,D1,stars and planets,6498,100,47,50,58,71,198,128
391,MH,High Tech,EVS,G5,W1,D2,planets in our solar system.,6098,25,93,59,52,56,124,179
392,MH,High Tech,EVS,G5,W1,D3,satellites and  asteroids,6190,12,94,21,52,25,82,134
393,MH,High Tech,EVS,G5,W1,D4,force of gravity,6227,34,39,69,50,39,60,191
394,MH,High Tech,EVS,G5,W1,D5,Phases of moon,3374,95,18,74,27,35,101,113
395,MH,High Tech,Math,G5,W1,D1,Rules of Roman Numerals,6510,21,28,55,99,67,167,179
396,MH,High Tech,Math,G5,W1,D2,Read and Write 1,6431,71,20,84,90,90,33,128
397,MH,High Tech,Math,G5,W1,D3,Convert Roman Numerals to international numerals,5718,95,82,31,17,28,138,183
398,MH,High Tech,Math,G5,W1,D4,Convert Internation numerals to Roman Numerals,3865,71,80,93,31,48,146,79
399,MH,High Tech,Math,G5,W1,D5,Revise Roman Numerals,5142,67,25,66,63,42,171,46
400,TS,High Tech,English,G1,W1,D1,Ammu and her family  ,6132,67,49,95,86,92,146,134
401,TS,High Tech,English,G1,W1,D2,Finger Family ,4749,18,44,83,51,68,52,85
402,TS,High Tech,English,G1,W1,D3,Family Song ,4376,30,95,74,28,72,133,192
403,TS,High Tech,English,G1,W1,D4,School Song,4769,29,74,74,65,37,79,93
404,TS,High Tech,English,G1,W1,D5,"Letters a,b,c,d",4745,24,27,38,14,98,181,108
405,TS,High Tech,Math,G1,W1,D1,More and Less,4520,52,65,22,47,61,30,49
406,TS,High Tech,Math,G1,W1,D2,"Over/Under, Above/Below",5847,71,28,10,58,71,164,85
407,TS,High Tech,Math,G1,W1,D3,Inside and Outside,4350,77,56,78,98,30,68,75
408,TS,High Tech,Math,G1,W1,D4,"Big/Small, Fat/Thin",4874,13,34,53,23,46,193,119
409,TS,High Tech,Math,G1,W1,D5,Deep and Shallow ,6085,72,79,30,57,23,145,197
410,TS,High Tech,English,G2,W1,D1,Ramu goes to the Zoo ,6183,26,82,38,16,74,40,57
411,TS,High Tech,English,G2,W1,D2,Ramu  goes to the Zoo ,5247,53,71,42,49,30,193,154
412,TS,High Tech,English,G2,W1,D3,Ramu  goes to the Zoo ,4786,84,62,74,20,43,65,72
413,TS,High Tech,English,G2,W1,D4,Dancing Time,5537,28,91,69,17,36,77,106
414,TS,High Tech,English,G2,W1,D5,A,6217,96,15,11,67,71,142,199
415,TS,High Tech,Math,G2,W1,D1,Count and Write Numbers 1,5076,98,54,60,29,15,69,98
416,TS,High Tech,Math,G2,W1,D2,Ordinal Numbers,5097,49,47,47,83,50,178,119
417,TS,High Tech,Math,G2,W1,D3,"Before, after and between",5564,44,98,96,40,33,145,80
418,TS,High Tech,Math,G2,W1,D4,Biggest and smallest numbers,6666,97,52,39,51,84,107,109
419,TS,High Tech,Math,G2,W1,D5,Asceding and Descending order,5878,31,18,34,91,81,199,100
420,TS,High Tech,English,G3,W1,D1,Talking Train ,5548,74,46,14,26,44,67,109
421,TS,High Tech,English,G3,W1,D2,Wheels on the train ,6408,15,62,55,42,15,116,125
422,TS,High Tech,English,G3,W1,D3,Choo Choo train ,5140,12,50,26,42,77,57,67
423,TS,High Tech,English,G3,W1,D4,Modes of transport ,5286,43,36,89,97,64,180,148
424,TS,High Tech,English,G3,W1,D5,Vehicles I like ,5652,50,39,55,83,36,193,32
425,TS,High Tech,EVS,G3,W1,D1,a family tree,5199,73,93,36,37,41,148,137
426,TS,High Tech,EVS,G3,W1,D2,qualities of family members.,6049,91,95,64,90,55,77,111
427,TS,High Tech,EVS,G3,W1,D3,Types of family,5332,46,10,88,13,15,57,176
428,TS,High Tech,EVS,G3,W1,D4,Children with special needs,5528,100,25,19,31,46,120,119
429,TS,High Tech,EVS,G3,W1,D5,Revision ,4529,52,77,41,32,93,132,95
430,TS,High Tech,Math,G3,W1,D1,"Top, Front and Side Views",5303,98,72,24,98,79,119,116
431,TS,High Tech,Math,G3,W1,D2,Tracing shapes of Objects,6151,22,80,85,74,55,86,173
432,TS,High Tech,Math,G3,W1,D3,Understand what is a net of a solid object,5995,62,96,59,50,97,125,122
433,TS,High Tech,Math,G3,W1,D4,Draw net of solid shapes,5292,35,100,60,96,19,40,79
434,TS,High Tech,Math,G3,W1,D5,Count shapes used in a pattern,5983,10,77,25,25,24,181,37
435,TS,High Tech,English,G4,W1,D1,Story of Eklavya ,6111,13,73,43,27,88,72,177
436,TS,High Tech,English,G4,W1,D2,Story of Eklavya ,5354,59,100,78,63,40,132,117
437,TS,High Tech,English,G4,W1,D3,School is Fun ,6264,63,98,92,43,11,198,138
438,TS,High Tech,English,G4,W1,D4,Grammar ,5934,41,72,68,99,35,101,170
439,TS,High Tech,English,G4,W1,D5,Grammar ,5310,86,80,10,15,18,175,161
440,TS,High Tech,EVS,G4,W1,D1,changes in the family due to birth of a new baby,5319,23,75,95,16,68,49,132
441,TS,High Tech,EVS,G4,W1,D2,Changes in the family due to transfer of a family,4822,40,78,51,86,80,93,174
442,TS,High Tech,EVS,G4,W1,D3,changes in the family due to a wedding,5381,97,22,83,25,23,103,81
443,TS,High Tech,EVS,G4,W1,D4,changes in the family in last ten years,6755,55,49,73,53,88,54,132
444,TS,High Tech,EVS,G4,W1,D5,Revision,5512,26,12,62,37,43,181,153
445,TS,High Tech,Math,G4,W1,D1,Shapes of objects around us,5830,21,95,34,44,54,93,50
446,TS,High Tech,Math,G4,W1,D2,Objects that Roll and Slide,6578,59,11,83,95,12,70,198
447,TS,High Tech,Math,G4,W1,D3,Edges and corners of 3D Shapes,5273,84,21,78,73,31,109,171
448,TS,High Tech,Math,G4,W1,D4,Count number of faces of a box,5667,93,74,47,76,99,200,193
449,TS,High Tech,Math,G4,W1,D5,Draw net of a box,4977,49,62,28,56,74,177,89
450,TS,High Tech,English,G5,W1,D1,Let's be friends ,5663,48,95,24,41,23,164,194
451,TS,High Tech,English,G5,W1,D2,Articles ,5056,85,87,87,15,45,123,77
452,TS,High Tech,English,G5,W1,D3,Articles ,5850,67,19,13,95,37,94,131
453,TS,High Tech,English,G5,W1,D4,Adverbs ,6114,74,99,100,82,37,190,81
454,TS,High Tech,English,G5,W1,D5,Adverbs Revision ,4777,18,28,43,83,26,159,197
455,TS,High Tech,EVS,G5,W1,D1,animals which help us earning a livelihood.,5809,24,26,50,19,75,110,168
456,TS,High Tech,EVS,G5,W1,D2, daily activities of a shepherd,5439,22,18,22,11,94,180,195
457,TS,High Tech,EVS,G5,W1,D3,Farmer's Friends,4860,60,31,81,47,45,187,156
458,TS,High Tech,EVS,G5,W1,D4,endangered species,4944,38,75,75,34,30,167,148
459,TS,High Tech,EVS,G5,W1,D5,Revision,6348,47,54,98,36,13,158,119
460,TS,High Tech,Math,G5,W1,D1,Estimate Sum of Big numbers,5021,57,61,55,25,31,191,121
461,TS,High Tech,Math,G5,W1,D2,Count in 100s,7132,17,56,89,92,73,88,55
462,TS,High Tech,Math,G5,W1,D3,Understand 100 Number Table,4970,74,52,76,44,87,110,146
463,TS,High Tech,Math,G5,W1,D4,Expanding numbers,4038,91,13,42,82,86,183,180
464,TS,High Tech,Math,G5,W1,D5,Revise Expanding Numbers,3678,91,78,39,49,55,85,66
465,KA,High Tech,English,G1,W1,D1,Health is Happiness ,5777,69,36,47,31,81,54,176
466,KA,High Tech,English,G1,W1,D2,Action words ,5321,46,51,86,11,36,137,196
467,KA,High Tech,English,G1,W1,D3,Activities in the day ,5485,94,40,32,10,44,160,159
468,KA,High Tech,English,G1,W1,D4,Healthy foods ,5754,52,67,76,19,33,146,77
469,KA,High Tech,English,G1,W1,D5,Healthy foods ,5105,83,48,45,56,36,140,160
470,KA,High Tech,EVS,G1,W1,D1,"""Animals that live on trees, water and land.

""",5876,60,75,94,93,92,89,167
471,KA,High Tech,EVS,G1,W1,D2,animal song.,5643,86,95,63,90,66,52,94
472,KA,High Tech,EVS,G1,W1,D3,Draw and colour pictures of animals,5370,63,45,64,68,55,63,73
473,KA,High Tech,EVS,G1,W1,D4,movement of animals.,4901,39,91,95,29,70,150,55
474,KA,High Tech,EVS,G1,W1,D5,Revision,5887,29,67,55,10,75,160,95
475,KA,High Tech,Math,G1,W1,D1,Top and Bottom,5238,83,89,38,37,23,192,95
476,KA,High Tech,Math,G1,W1,D2,Inside and Outside,5842,34,11,12,84,31,55,74
477,KA,High Tech,Math,G1,W1,D3,"Above/Below, Over/Under",5752,17,68,64,54,22,109,103
478,KA,High Tech,Math,G1,W1,D4,Near and Far,6927,53,81,53,84,74,121,153
479,KA,High Tech,Math,G1,W1,D5,Before and After,5946,86,85,55,25,65,184,146
480,KA,High Tech,English,G2,W1,D1,My sister and me ,5233,31,87,46,88,53,186,112
481,KA,High Tech,English,G2,W1,D2,Action words ,6205,95,12,59,61,100,83,109
482,KA,High Tech,English,G2,W1,D3,Raksha Bandhan ,7176,50,50,74,63,61,91,150
483,KA,High Tech,English,G2,W1,D4,Grammar: use of 'Between',5077,30,36,97,51,28,187,85
484,KA,High Tech,English,G2,W1,D5,Plural nouns ,5663,96,23,17,82,66,44,167
485,KA,High Tech,EVS,G2,W1,D1,various birds in your surroundings.,5334,72,66,75,36,35,138,65
486,KA,High Tech,EVS,G2,W1,D2,different insects in our surroundings,5534,24,62,77,42,84,195,40
487,KA,High Tech,EVS,G2,W1,D3,animals based upon their movements,6134,59,13,89,11,68,180,103
488,KA,High Tech,EVS,G2,W1,D4,Draw and colour pictures of animals,5926,59,67,56,48,85,151,175
489,KA,High Tech,EVS,G2,W1,D5,Revision,4700,97,64,56,87,80,197,41
490,KA,High Tech,Math,G2,W1,D1,Straight Lines,5852,69,65,25,69,79,144,42
491,KA,High Tech,Math,G2,W1,D2,"Horizontal, Vertical and Slanting Lines",6380,85,31,45,64,78,132,53
492,KA,High Tech,Math,G2,W1,D3,Straight and curved lines,5171,26,97,85,58,65,183,195
493,KA,High Tech,Math,G2,W1,D4,Objects that roll and slide,4849,89,67,60,48,42,197,55
494,KA,High Tech,Math,G2,W1,D5,Revise Lines,5381,74,33,69,33,90,191,194
495,KA,High Tech,English,G3,W1,D1,Sports ,5197,12,28,93,29,62,81,131
496,KA,High Tech,English,G3,W1,D2,Jumbo of Indian Cricket ,6492,17,91,23,91,62,174,68
497,KA,High Tech,English,G3,W1,D3,Different Sportspeople ,6615,63,36,50,51,86,123,134
498,KA,High Tech,English,G3,W1,D4,Indoor and Outdoor games ,5729,51,69,95,40,93,158,149
499,KA,High Tech,English,G3,W1,D5,Action words ,6370,12,28,39,21,43,54,82
500,KA,High Tech,EVS,G3,W1,D1,different types of animals.,6360,17,39,62,55,47,200,141
501,KA,High Tech,EVS,G3,W1,D2,"animals of various sizes. 
",5041,14,77,27,82,37,193,123
502,KA,High Tech,EVS,G3,W1,D3,herbivores and carnivorous animals,5718,54,91,85,94,93,151,120
503,KA,High Tech,EVS,G3,W1,D4,birds and their characterstics ,5759,30,53,13,67,63,37,97
504,KA,High Tech,EVS,G3,W1,D5,Revision,5919,66,90,84,33,56,35,90
505,KA,High Tech,Math,G3,W1,D1,Identify Shapes,5168,30,71,95,30,33,62,110
506,KA,High Tech,Math,G3,W1,D2,Sides and Corners,4684,34,67,14,85,22,53,196
507,KA,High Tech,Math,G3,W1,D3,Identify 2d and 3d shapes,7182,52,80,28,98,72,30,57
508,KA,High Tech,Math,G3,W1,D4,Drawing 3d shapes,3774,55,58,16,78,74,89,150
509,KA,High Tech,Math,G3,W1,D5,Cylinders,5245,19,14,46,26,73,58,122
510,KA,High Tech,English,G4,W1,D1,I want to fly ,5772,92,26,62,33,58,187,62
511,KA,High Tech,English,G4,W1,D2,The three butterflies ,6084,47,10,86,67,15,108,115
512,KA,High Tech,English,G4,W1,D3,Types of flowers ,7014,34,92,23,37,94,92,166
513,KA,High Tech,English,G4,W1,D4,Types of insects ,5516,13,62,82,47,29,154,36
514,KA,High Tech,English,G4,W1,D5,Tense ,4167,59,74,92,53,55,157,33
515,KA,High Tech,EVS,G4,W1,D1,similarities and differences between human beings and animals.,5748,89,85,16,34,60,57,141
516,KA,High Tech,EVS,G4,W1,D2," characterstics (size, colour, food, habitat) of animals
",6317,13,14,73,96,24,107,157
517,KA,High Tech,EVS,G4,W1,D3,Uses of animals,6156,28,60,32,15,18,132,142
518,KA,High Tech,EVS,G4,W1,D4,Characteristics of animals ,5869,66,81,37,66,17,75,105
519,KA,High Tech,EVS,G4,W1,D5,Revision,6202,68,88,94,41,59,189,33
520,KA,High Tech,Math,G4,W1,D1,Understanding Perimeter,4748,12,13,79,95,100,66,194
521,KA,High Tech,Math,G4,W1,D2,Calculating Perimeter,5543,69,14,100,42,13,67,122
522,KA,High Tech,Math,G4,W1,D3,Understanding Area,5812,12,45,34,50,23,30,34
523,KA,High Tech,Math,G4,W1,D4,Calclating Area. ,5342,55,50,76,87,16,126,68
524,KA,High Tech,Math,G4,W1,D5,Revise Perimeter and Area,4633,84,56,24,61,24,160,59
525,KA,High Tech,English,G5,W1,D1,Swami Vivekananda ,4564,87,30,86,77,33,192,172
526,KA,High Tech,English,G5,W1,D2,Swami Vivekananda ,4712,84,19,52,50,61,166,189
527,KA,High Tech,English,G5,W1,D3,Opposites ,5624,84,52,77,99,26,104,156
528,KA,High Tech,English,G5,W1,D4,Kinds of sentences ,6193,21,46,85,39,50,125,113
529,KA,High Tech,English,G5,W1,D5,Complete dialogues,6879,64,44,45,12,54,90,48
530,KA,High Tech,EVS,G5,W1,D1,living and non,5395,51,84,16,57,46,84,178
531,KA,High Tech,EVS,G5,W1,D2,"characterstics of living beings
",5979,100,100,25,12,75,199,155
532,KA,High Tech,EVS,G5,W1,D3,Life cycle of a plant,5453,87,13,52,18,70,118,49
533,KA,High Tech,EVS,G5,W1,D4,Protection of plants and animals,6988,17,49,98,49,24,123,113
534,KA,High Tech,EVS,G5,W1,D5,Revision ,5851,72,23,30,13,45,100,130
535,KA,High Tech,Math,G5,W1,D1,Place Value of 5,4241,91,90,53,43,58,120,120
536,KA,High Tech,Math,G5,W1,D2,Read and Write 5,4990,69,59,59,13,42,173,31
537,KA,High Tech,Math,G5,W1,D3,Expanding 5 digit numbers,4093,25,24,90,56,42,79,41
538,KA,High Tech,Math,G5,W1,D4,Convert expanded form to standard form,5026,75,77,73,43,38,67,34
539,KA,High Tech,Math,G5,W1,D5,Ascending and Descending order of 5 digit numbers,5088,76,76,49,44,88,101,53
540,CBSE,Low Tech,English,G1,W2,D1,Three little Pigs ,5592,10,41,35,18,62,64,82
541,CBSE,Low Tech,English,G1,W2,D2,Three little Pigs ,4343,87,32,100,59,69,197,168
542,CBSE,Low Tech,English,G1,W2,D3,Farm Animals and their Home,6742,13,66,65,60,50,195,124
543,CBSE,Low Tech,English,G1,W2,D4,Jungle Animals and their Home,4197,23,24,55,51,12,37,177
544,CBSE,Low Tech,English,G1,W2,D5,Water Animals and their homes,6305,83,24,58,73,87,121,192
545,CBSE,Low Tech,Math,G1,W2,D1,Nearer and Farther,5521,83,99,25,51,35,169,193
546,CBSE,Low Tech,Math,G1,W2,D2,Nearest and Farthest,5930,95,27,42,79,24,53,31
547,CBSE,Low Tech,Math,G1,W2,D3,On and Under,6012,82,65,17,27,29,148,160
548,CBSE,Low Tech,Math,G1,W2,D4,Above and Below,5837,99,11,15,78,60,76,154
549,CBSE,Low Tech,Math,G1,W2,D5,"The Positions, all over again",5007,61,62,97,57,10,113,147
550,CBSE,Low Tech,English,G2,W2,D1,Days of the Week,5396,30,16,22,45,65,193,195
551,CBSE,Low Tech,English,G2,W2,D2,Capital Letters,4434,14,27,84,73,44,88,160
552,CBSE,Low Tech,English,G2,W2,D3,Using the words ,5743,85,47,68,55,11,164,112
553,CBSE,Low Tech,English,G2,W2,D4,the poem ,4771,65,39,54,54,80,92,174
554,CBSE,Low Tech,English,G2,W2,D5,Bells and their sounds,6069,43,19,67,16,17,113,111
555,CBSE,Low Tech,Math,G2,W2,D1,Writing numbers from 1,5815,42,80,38,50,91,125,164
556,CBSE,Low Tech,Math,G2,W2,D2,Writing numbers from 51,5712,35,49,83,53,11,154,96
557,CBSE,Low Tech,Math,G2,W2,D3,Counting in Groups,6777,93,49,26,13,96,172,138
558,CBSE,Low Tech,Math,G2,W2,D4,Counting in Pairs and Fours,5281,82,55,65,99,64,170,171
559,CBSE,Low Tech,Math,G2,W2,D5,Finding More or Less,6422,53,45,20,73,92,149,179
560,CBSE,Low Tech,English,G3,W2,D1,the poem ,5783,38,43,53,96,50,158,106
561,CBSE,Low Tech,English,G3,W2,D2,Questions and Answers from Bird Talk,5553,33,66,97,53,16,110,182
562,CBSE,Low Tech,English,G3,W2,D3,Words that Rhyme,4783,23,87,61,42,93,55,194
563,CBSE,Low Tech,English,G3,W2,D4,The story ,5619,83,84,14,63,31,30,109
564,CBSE,Low Tech,English,G3,W2,D5,The story ,4640,30,28,37,29,51,161,155
565,CBSE,Low Tech,Math,G3,W2,D1,3 Digit Numbers,4690,66,19,30,28,49,126,164
